source	target	weight
AAGAB	AP1G1	1
AAGAB	AP1G2	1
AAGAB	AP1S2	1
AAGAB	AP1S3	1
AAGAB	AP2A1	1
AAGAB	AP2A2	1
AAGAB	AP2S1	1
AAGAB	CTR9	1
AAGAB	DOCK2	1
AAGAB	EDRF1	1
AAGAB	EIF3C	1
AAGAB	ELAVL1	1
AAGAB	FAM177A1	1
AAGAB	HNRNPK	1
AAGAB	LEO1	1
AAGAB	MDFI	1
AAGAB	PAF1	1
AAGAB	RBMY1A1	1
AAGAB	RTF1	1
AAGAB	STX4	1
AAGAB	STXBP3	1
AAGAB	TCAF1	1
AAGAB	UNC119	1
AAGAB	WDR61	1
AAGAB	XPO1	1
AAGAB	ZNF592	1
AAK1	ACTB	1
AAK1	ANLN	1
AAK1	AP2A1	1
AAK1	AP2B1	1
AAK1	AP2M1	1
AAK1	APP	1
AAK1	ATP13A2	1
AAK1	CLTB	1
AAK1	CLTC	1
AAK1	GABARAPL2	1
AAK1	GAK	1
AAK1	GTSE1	1
AAK1	HSPA5	1
AAK1	NTRK1	1
AAK1	NUMB	1
AAK1	PPP1CB	1
AAK1	TCTE1	1
AAK1	XPO1	1
AAMDC	ACY3	1
AAMDC	APP	1
AAMDC	BAG3	1
AAMDC	DHX57	1
AAMDC	EGFR	1
AAMDC	GORASP2	1
AAMDC	HNF4A	1
AAMDC	MAP4K4	1
AAMP	ABL2	1
AAMP	ACE2	1
AAMP	AEN	1
AAMP	ASAH1	1
AAMP	ATF2	1
AAMP	BHLHE40	1
AAMP	C11orf57	1
AAMP	C8orf33	1
AAMP	CTNNB1	1
AAMP	DHPS	1
AAMP	DICER1	1
AAMP	E2F1	1
AAMP	E2F3	1
AAMP	E2F4	1
AAMP	EGFR	1
AAMP	ESR1	1
AAMP	FBXO38	1
AAMP	FLI1	1
AAMP	FOXO3	1
AAMP	GABARAPL2	1
AAMP	HIF1A	1
AAMP	HNF4A	1
AAMP	HSF1	1
AAMP	INPP5K	1
AAMP	JUN	1
AAMP	MAP1LC3B	1
AAMP	MBD1	1
AAMP	MBD2	1
AAMP	MBD3	1
AAMP	MECP2	1
AAMP	MYC	1
AAMP	NELFCD	1
AAMP	PAXIP1	1
AAMP	PDCD4	1
AAMP	PLIN3	1
AAMP	POLR2A	1
AAMP	PPP2R2D	1
AAMP	PSEN2	1
AAMP	PTF1A	1
AAMP	PTPRU	1
AAMP	RBL2	1
AAMP	RPL10	1
AAMP	SNX20	1
AAMP	SP1	1
AAMP	SRP9	1
AAMP	TAF1	1
AAMP	TBXA2R	1
AAMP	TCF25	1
AAMP	TK1	1
AAMP	TP53	1
AAMP	TP53BP1	1
AAMP	VPS52	1
AAMP	XPO1	1
AANAT	AACS	1
AANAT	AASDHPPT	1
AANAT	ACAA1	1
AANAT	ACAA2	1
AANAT	ACAT1	1
AANAT	ACAT2	1
AANAT	ACLY	1
AANAT	ACP2	1
AANAT	ACP5	1
AANAT	ACP6	1
AANAT	ACPP	1
AANAT	ACSL1	1
AANAT	ACSL3	1
AANAT	ACSL4	1
AANAT	ACSL5	1
AANAT	ACSM3	1
AANAT	ACSS1	1
AANAT	ACSS2	1
AANAT	ACSS3	1
AANAT	ALDH1A3	1
AANAT	ALDH1B1	1
AANAT	ALDH6A1	1
AANAT	ASAH1	1
AANAT	BCKDHA	1
AANAT	BCKDHB	1
AANAT	BHLHE40	1
AANAT	CPT1A	1
AANAT	CPT2	1
AANAT	CRAT	1
AANAT	DBT	1
AANAT	DHTKD1	1
AANAT	DLAT	1
AANAT	DLD	1
AANAT	DLST	1
AANAT	ELOVL6	1
AANAT	ENPP1	1
AANAT	FAR1	1
AANAT	FAR2	1
AANAT	FASN	1
AANAT	GCAT	1
AANAT	GLYCTK	1
AANAT	GPD2	1
AANAT	HADHB	1
AANAT	HDAC8	1
AANAT	HIBCH	1
AANAT	HMGCS1	1
AANAT	HMGCS2	1
AANAT	IDH1	1
AANAT	IDH2	1
AANAT	JMJD7-PLA2G4B	1
AANAT	LEFTY1	1
AANAT	LPCAT2	1
AANAT	LPCAT4	1
AANAT	NUDT12	1
AANAT	OGDH	1
AANAT	PAFAH2	1
AANAT	PDHB	1
AANAT	PDHX	1
AANAT	PIGW	1
AANAT	PLA2G12A	1
AANAT	PLA2G4A	1
AANAT	PLA2G5	1
AANAT	PLA2G6	1
AANAT	PLB1	1
AANAT	PRKACA	1
